CLE TOWER:                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ;Remark
                          N041.26.11.861 W081.48.28.250 N041.26.11.962 W081.48.28.171
                          N041.27.29.067 W081.46.26.050 N041.27.29.167 W081.46.25.971
                          N041.28.46.907 W081.44.23.574 N041.28.47.002 W081.44.23.614
                          N041.28.08.980 W081.45.25.698 N041.28.08.986 W081.45.25.854
                          N041.27.29.167 W081.46.25.971 N041.27.29.272 W081.46.25.912
                          N041.28.07.952 W081.45.26.956 N041.28.07.837 W081.45.26.912
                          N041.28.47.443 W081.44.25.239 N041.28.47.391 W081.44.25.345
                          N041.26.13.093 W081.48.29.747 N041.26.13.041 W081.48.29.854
                          N041.27.30.299 W081.46.27.547 N041.27.30.247 W081.46.27.654
                          N041.31.00.906 W081.40.24.011 N041.31.03.775 W081.40.23.732
                          N041.27.28.833 W081.46.27.601 N041.27.28.785 W081.46.27.489
                          N041.24.09.340 W081.51.05.050 N041.24.09.689 W081.51.04.395
                          N041.25.32.903 W081.49.29.952 N041.25.32.941 W081.49.29.805
                          N041.26.11.616 W081.48.28.596 N041.26.11.685 W081.48.28.465
                          N041.26.50.226 W081.47.27.510 N041.26.50.295 W081.47.27.379
                          N041.28.07.550 W081.45.25.005 N041.28.07.643 W081.45.24.906
                          N041.30.13.025 W082.03.19.963 N041.29.35.175 W082.02.42.106
                          N041.26.12.638 W081.48.30.257 N041.26.12.527 W081.48.30.299
                          N041.26.50.109 W081.47.27.948 N041.26.50.132 W081.47.27.799
                          N041.24.17.236 W081.51.08.823 N041.24.17.121 W081.51.09.542
                          N041.28.08.824 W081.45.26.510 N041.28.08.766 W081.45.26.605
                          N041.25.34.121 W081.49.31.264 N041.25.34.019 W081.49.31.324
                          N041.26.12.409 W081.48.30.321 N041.26.12.289 W081.48.30.322
                          N041.30.50.184 W081.41.25.557 N041.30.47.578 W081.41.22.922
                          N041.26.11.515 W081.48.29.454 N041.26.11.498 W081.48.29.322
                          N041.27.29.616 W081.46.28.122 N041.27.29.495 W081.46.28.122
                          N041.21.03.828 W081.43.20.472 N041.21.48.071 W081.42.58.051
                          N041.25.33.149 W081.49.29.438 N041.25.34.454 W081.49.29.681
                          N041.25.33.228 W081.49.31.176 N041.25.33.141 W081.49.31.081
                          N041.26.12.748 W081.48.28.180 N041.26.12.841 W081.48.28.256
                          N041.30.49.022 W081.40.30.430 N041.30.51.899 W081.40.27.956
                          N041.25.33.343 W081.49.29.238 N041.25.33.447 W081.49.29.179
                          N041.28.07.298 W081.45.26.111 N041.28.07.280 W081.45.25.979
                          N041.26.50.189 W081.47.28.601 N041.26.50.153 W081.47.28.489
                          N041.26.12.558 W081.48.28.083 N041.26.12.653 W081.48.28.123
                          N041.24.17.281 W081.51.08.065 N041.24.17.236 W081.51.08.823
                          N041.27.30.215 W081.46.26.263 N041.27.30.284 W081.46.26.392
                          N041.29.46.047 W082.05.27.849 N041.30.14.076 W082.03.36.969
                          N041.31.07.777 W081.40.24.101 N041.31.09.278 W081.40.09.669
                          N041.29.44.822 W081.47.36.557 N041.29.43.912 W081.47.25.990
                          N041.27.29.844 W081.46.28.057 N041.27.29.733 W081.46.28.099
                          N041.26.13.009 W081.48.28.463 N041.26.13.078 W081.48.28.593
                          N041.29.36.721 W081.46.37.165 N041.29.36.538 W081.46.27.691
                          N041.24.15.829 W081.51.12.268 N041.24.15.425 W081.51.12.687
                          N041.24.13.596 W081.51.02.369 N041.24.14.055 W081.51.02.489
                          N041.29.51.267 W081.47.41.406 N041.29.47.644 W081.47.40.443
                          N041.30.14.076 W082.03.36.969 N041.30.49.150 W082.01.17.681
                          N041.30.57.282 W082.00.42.859 N041.30.52.877 W081.59.39.094
                          N041.30.52.877 W081.59.39.094 N041.30.11.873 W081.57.53.271
                          N041.30.11.873 W081.57.53.271 N041.29.51.538 W081.57.24.328
                          N041.29.51.538 W081.57.24.328 N041.29.36.963 W081.56.50.411
                          N041.28.07.326 W081.45.26.232 N041.28.07.298 W081.45.26.111
                          N041.29.36.963 W081.56.50.411 N041.29.30.523 W081.56.23.277
                          N041.29.18.636 W081.54.41.396 N041.29.07.472 W081.53.24.334
                          N041.28.58.549 W081.52.20.440 N041.28.58.271 W081.51.45.848
                          N041.28.08.791 W081.45.25.118 N041.28.08.860 W081.45.25.248
                          N041.28.07.837 W081.45.26.912 N041.28.07.728 W081.45.26.848
                          N041.28.58.271 W081.51.45.848 N041.29.11.933 W081.50.57.865
                          N041.29.11.933 W081.50.57.865 N041.29.26.073 W081.50.17.587
                          N041.29.26.073 W081.50.17.587 N041.29.26.711 W081.50.03.558
                          N041.29.26.711 W081.50.03.558 N041.29.40.411 W081.49.04.682
                          N041.29.40.411 W081.49.04.682 N041.29.44.235 W081.48.45.765
                          N041.29.44.235 W081.48.45.765 N041.29.45.191 W081.48.05.169
                          N041.29.45.191 W081.48.05.169 N041.29.47.262 W081.47.59.660
                          N041.25.34.390 W081.49.29.531 N041.25.34.459 W081.49.29.660
                          N041.29.47.262 W081.47.59.660 N041.29.51.579 W081.47.52.719
                          N041.29.51.579 W081.47.52.719 N041.29.51.267 W081.47.41.406
                          N041.29.47.644 W081.47.40.443 N041.29.44.822 W081.47.36.557
                          N041.29.45.551 W081.46.58.662 N041.29.42.547 W081.46.47.246
                          N041.29.42.547 W081.46.47.246 N041.29.36.721 W081.46.37.165
                          N041.29.36.538 W081.46.27.691 N041.29.35.349 W081.46.27.584
                          N041.29.35.349 W081.46.27.584 N041.29.34.445 W081.46.26.598
                          N041.29.34.445 W081.46.26.598 N041.29.30.803 W081.46.12.145
