DETROIT TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ D21 CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.42.33.563 W083.27.07.873 N042.42.37.373 W083.26.27.569
                          N042.42.42.662 W083.25.06.614 N042.42.43.890 W083.24.47.073
                          N042.42.43.890 W083.24.47.073 N042.42.44.696 W083.24.26.077
                          N042.42.47.577 W083.23.04.898 N042.42.47.845 W083.22.24.261
                          N042.42.47.453 W083.21.02.998 N042.42.46.612 W083.20.22.377
                          N042.42.43.221 W083.19.01.240 N042.42.41.520 W083.18.26.595
                          N042.42.41.520 W083.18.26.595 N042.42.41.047 W083.18.20.715
                          N042.42.34.522 W083.16.59.923 N042.42.33.879 W083.16.51.935
                          N042.42.33.879 W083.16.51.935 N042.42.30.354 W083.16.19.687
                          N042.42.21.041 W083.14.59.414 N042.42.15.526 W083.14.19.475
                          N042.42.03.073 W083.13.00.005 N042.41.56.275 W083.12.20.432
                          N042.41.40.922 W083.11.01.892 N042.41.36.421 W083.10.39.247
                          N042.41.36.421 W083.10.39.247 N042.41.32.582 W083.10.22.881
                          N042.41.14.333 W083.09.05.493 N042.41.04.274 W083.08.27.229
                          N042.40.43.314 W083.07.11.138 N042.40.32.122 W083.06.33.462
                          N042.40.08.182 W083.05.19.011 N042.39.56.520 W083.04.43.912
                          N042.39.56.520 W083.04.43.912 N042.39.55.826 W083.04.42.015
                          N042.39.29.274 W083.03.29.206 N042.39.25.331 W083.03.18.393
                          N042.39.25.331 W083.03.18.393 N042.39.15.171 W083.02.53.390
                          N042.38.45.925 W083.01.42.525 N042.38.30.543 W083.01.07.687
                          N042.37.58.739 W082.59.58.899 N042.37.42.327 W082.59.24.939
                          N042.37.07.831 W082.58.18.577 N042.36.56.101 W082.57.56.336
                          N042.36.56.101 W082.57.56.336 N042.36.50.148 W082.57.45.824
                          N042.36.13.678 W082.56.41.431 N042.36.13.337 W082.56.40.830
                          N042.36.13.337 W082.56.40.830 N042.35.54.366 W082.56.10.408
                          N042.35.15.224 W082.55.08.987 N042.34.55.137 W082.54.38.886
                          N042.34.13.749 W082.53.40.250 N042.33.52.716 W082.53.11.365
                          N042.33.09.158 W082.52.15.669 N042.33.00.528 W082.52.04.657
                          N042.33.00.528 W082.52.04.657 N042.32.46.872 W082.51.48.581
                          N042.32.01.476 W082.50.55.666 N042.31.38.155 W082.50.30.214
                          N042.30.50.792 W082.49.40.578 N042.30.26.690 W082.49.16.503
