BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.53.06.160 W078.54.39.547 N042.53.28.242 W078.54.29.307
                          N042.53.28.242 W078.54.29.307 N042.53.52.284 W078.54.28.927
                          N042.53.52.284 W078.54.28.927 N042.54.14.348 W078.54.28.538
                          N042.54.14.348 W078.54.28.538 N042.54.43.339 W078.54.20.555
                          N042.54.43.339 W078.54.20.555 N042.55.07.371 W078.54.27.342
                          N042.55.07.371 W078.54.27.342 N042.55.28.106 W078.54.35.466
                          N042.55.28.106 W078.54.35.466 N042.55.53.125 W078.54.41.363
                          N042.55.53.125 W078.54.41.363 N042.56.13.182 W078.55.01.589
                          N042.56.13.182 W078.55.01.589 N042.56.32.249 W078.55.22.713
                          N042.56.32.249 W078.55.22.713 N042.56.47.359 W078.55.45.171
                          N042.56.47.359 W078.55.45.171 N042.56.58.180 W078.56.12.104
                          N042.56.58.180 W078.56.12.104 N042.57.04.401 W078.56.33.641
                          N042.57.04.401 W078.56.33.641 N042.57.02.365 W078.57.05.914
                          N042.57.02.365 W078.57.05.914 N042.57.04.292 W078.57.31.475
                          N042.51.05.600 W078.55.26.108 N042.50.38.512 W078.55.01.388
                          N042.50.38.512 W078.55.01.388 N042.50.12.450 W078.54.34.710
                          N042.50.12.450 W078.54.34.710 N042.49.47.495 W078.54.06.152
                          N042.49.47.495 W078.54.06.152 N042.49.23.717 W078.53.35.800
                          N042.49.23.717 W078.53.35.800 N042.49.01.185 W078.53.03.743
                          N042.49.01.185 W078.53.03.743 N042.48.39.964 W078.52.30.078
                          N042.48.39.964 W078.52.30.078 N042.48.20.123 W078.51.54.900
                          N042.48.20.123 W078.51.54.900 N042.48.01.712 W078.51.18.316
                          N042.48.01.712 W078.51.18.316 N042.47.44.792 W078.50.40.434
                          N042.47.44.792 W078.50.40.434 N042.47.29.410 W078.50.01.363
                          N042.47.29.410 W078.50.01.363 N042.47.15.610 W078.49.21.220
                          N042.47.15.610 W078.49.21.220 N042.47.03.433 W078.48.40.123
                          N042.47.03.433 W078.48.40.123 N042.46.52.915 W078.47.58.191
                          N042.46.52.915 W078.47.58.191 N042.46.44.088 W078.47.15.547
                          N042.46.44.088 W078.47.15.547 N042.46.36.975 W078.46.32.321
                          N042.46.36.975 W078.46.32.321 N042.46.31.601 W078.45.48.635
                          N042.46.31.601 W078.45.48.635 N042.46.27.978 W078.45.04.619
                          N042.46.27.978 W078.45.04.619 N042.46.26.120 W078.44.20.400
                          N042.46.26.120 W078.44.20.400 N042.46.26.030 W078.43.36.111
                          N042.46.26.030 W078.43.36.111 N042.46.27.709 W078.42.51.881
                          N042.46.27.709 W078.42.51.881 N042.46.31.152 W078.42.07.839
                          N042.46.31.152 W078.42.07.839 N042.46.36.349 W078.41.24.111
                          N042.46.36.349 W078.41.24.111 N042.46.43.283 W078.40.40.833
                          N042.46.43.283 W078.40.40.833 N042.46.51.938 W078.39.58.126
                          N042.46.51.938 W078.39.58.126 N042.47.02.283 W078.39.16.116
                          N042.47.02.283 W078.39.16.116 N042.47.14.293 W078.38.34.928
                          N042.47.14.293 W078.38.34.928 N042.47.27.927 W078.37.54.680
                          N042.47.27.927 W078.37.54.680 N042.47.43.154 W078.37.15.497
                          N042.47.43.154 W078.37.15.497 N042.47.59.921 W078.36.37.486
                          N042.47.59.921 W078.36.37.486 N042.48.18.180 W078.36.00.767
                          N042.48.18.180 W078.36.00.767 N042.48.37.880 W078.35.25.440
                          N042.48.37.880 W078.35.25.440 N042.48.58.960 W078.34.51.616
