PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.22.18.817 W080.04.33.379 N040.21.55.871 W080.05.03.500
                          N040.21.55.871 W080.05.03.500 N040.21.34.208 W080.05.35.195
                          N040.21.34.208 W080.05.35.195 N040.21.13.886 W080.06.08.373
                          N040.21.13.886 W080.06.08.373 N040.20.54.963 W080.06.42.932
                          N040.20.54.963 W080.06.42.932 N040.20.37.497 W080.07.18.776
                          N040.20.37.497 W080.07.18.776 N040.20.21.539 W080.07.55.799
                          N040.20.21.539 W080.07.55.799 N040.20.07.134 W080.08.33.890
                          N040.20.07.134 W080.08.33.890 N040.19.54.323 W080.09.12.941
                          N040.19.54.323 W080.09.12.941 N040.19.43.147 W080.09.52.838
                          N040.19.43.147 W080.09.52.838 N040.19.33.635 W080.10.33.464
                          N040.19.33.635 W080.10.33.464 N040.19.25.818 W080.11.14.699
                          N040.19.25.818 W080.11.14.699 N040.19.19.716 W080.11.56.425
                          N040.19.19.716 W080.11.56.425 N040.19.15.347 W080.12.38.520
                          N040.19.15.347 W080.12.38.520 N040.19.12.726 W080.13.20.860
                          N040.19.12.726 W080.13.20.860 N040.19.11.857 W080.14.03.324
                          N040.19.11.857 W080.14.03.324 N040.19.12.747 W080.14.45.787
                          N040.19.12.747 W080.14.45.787 N040.19.15.390 W080.15.28.125
                          N040.19.15.390 W080.15.28.125 N040.19.19.779 W080.16.10.217
                          N040.19.19.779 W080.16.10.217 N040.19.25.900 W080.16.51.938
                          N040.19.25.900 W080.16.51.938 N040.19.33.738 W080.17.33.167
                          N040.19.33.738 W080.17.33.167 N040.19.43.272 W080.18.13.783
                          N040.19.43.272 W080.18.13.783 N040.19.54.468 W080.18.53.670
                          N040.19.54.468 W080.18.53.670 N040.20.07.297 W080.19.32.710
                          N040.20.07.297 W080.19.32.710 N040.20.21.719 W080.20.10.791
                          N040.20.21.719 W080.20.10.791 N040.20.37.698 W080.20.47.798
                          N040.20.37.698 W080.20.47.798 N040.20.55.180 W080.21.23.626
                          N040.20.55.180 W080.21.23.626 N040.21.14.121 W080.21.58.172
                          N040.21.14.121 W080.21.58.172 N040.21.34.459 W080.22.31.332
                          N040.21.34.459 W080.22.31.332 N040.21.56.140 W080.23.03.008
                          N040.21.56.140 W080.23.03.008 N040.22.19.099 W080.23.33.109
                          N040.22.19.099 W080.23.33.109 N040.22.43.269 W080.24.01.548
                          N040.22.43.269 W080.24.01.548 N040.23.08.577 W080.24.28.238
                          N040.23.08.577 W080.24.28.238 N040.23.34.954 W080.24.53.104
                          N040.23.34.954 W080.24.53.104 N040.24.02.317 W080.25.16.071
                          N040.24.02.317 W080.25.16.071 N040.24.30.594 W080.25.37.072
                          N040.24.30.594 W080.25.37.072 N040.24.59.695 W080.25.56.041
