CLEVELAND TRACON AREA     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ CLE CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.28.44.665 W080.29.44.888 N040.28.43.167 W080.29.42.349
                          N041.27.25.399 W082.18.25.249 N041.28.20.786 W082.18.09.871
                          N040.49.09.950 W080.15.11.368 N040.49.08.201 W080.15.49.571
                          N041.31.25.272 W081.57.07.965 N041.31.08.402 W081.57.51.271
                          N041.28.20.786 W082.18.09.871 N041.29.15.857 W082.17.50.980
                          N041.17.09.664 W081.59.27.642 N041.16.47.450 W081.58.48.980
                          N041.27.28.145 W081.55.10.090 N041.27.22.813 W081.55.07.780
                          N041.26.21.063 W081.55.50.572 N041.26.19.679 W081.55.45.080
                          N041.29.15.857 W082.17.50.980 N041.30.09.952 W082.17.28.569
                          N041.10.08.472 W082.19.07.084 N041.10.07.428 W082.19.01.669
                          N041.30.09.952 W082.17.28.569 N041.31.03.400 W082.17.02.638
                          N040.44.26.236 W080.30.56.688 N040.44.06.256 W080.31.26.838
                          N041.30.23.781 W081.51.36.054 N041.30.29.571 W081.51.37.138
                          N041.31.55.870 W082.16.33.621 N041.32.47.033 W082.16.01.075
                          N041.32.47.033 W082.16.01.075 N041.33.36.887 W082.15.25.439
                          N041.43.43.724 W081.51.20.309 N041.43.40.427 W081.50.05.139
                          N041.11.10.413 W082.19.52.523 N041.11.09.261 W082.19.54.039
                          N041.11.39.428 W082.19.03.806 N041.11.44.752 W082.19.06.139
                          N040.28.59.876 W080.28.38.824 N040.29.07.013 W080.28.41.739
                          N041.24.10.496 W081.51.12.612 N041.24.10.064 W081.51.12.139
                          N041.34.25.760 W082.14.46.711 N041.35.12.993 W082.14.04.887
                          N041.04.44.775 W082.14.41.767 N041.04.46.611 W082.14.42.987
                          N041.27.39.287 W081.55.31.809 N041.27.35.934 W081.55.32.487
                          N041.35.12.993 W082.14.04.887 N041.35.58.912 W082.13.20.407
                          N041.22.14.622 W081.41.10.958 N041.22.50.917 W081.41.04.107
                          N040.29.47.658 W080.25.31.889 N040.29.48.508 W080.25.36.607
                          N040.30.40.543 W080.19.27.902 N040.30.37.215 W080.19.26.207
                          N041.35.58.912 W082.13.20.407 N041.36.42.861 W082.12.32.826
                          N040.45.22.818 W080.29.21.968 N040.45.04.538 W080.29.54.226
                          N041.40.56.942 W081.57.07.560 N041.40.58.089 W081.57.06.026
                          N041.36.42.861 W082.12.32.826 N041.37.25.167 W082.11.42.147
